descricao;familia;espessura_mm;chapa;peso_unitario_kg;demanda_programada_pcs;estoque_atual;chapas_bobinas;em_estampagem;sem_pintar;total_disponivel;demanda_liquida_pcs;demanda_liquida_kg;status
Varal # 0,90 BF;Varal CC;0,9;BF;2;2.800,00;0;4250;0;0;4250;-1450;-2900;OK
Varal # 1,10 BF;Varal CC;1,1;BF;2,16;3.500,00;0;4000;0;0;4000;-500;-1080;OK
Varal # 1,40 BF;Varal CC;1,4;BF;3,24;3.700,00;0;1000;0;0;1000;2700;8748;COMPRAR
Varal 0,75-0,90 BZ;Varal;0,75;BZ;1,87;59.426,40;8050;22822;8574;0;39446;19980,4;37363,35;COMPRAR
Varal # 1,10 BZ;Varal;1,1;BZ;2,6;21.666,00;793;8535;0;0;9328;12338;32078,8;COMPRAR
Suporte # 0,90;Suporte;0,9;BZ;0,07;118.852,80;34886;55471;0;0;90357;28495,8;1994,71;COMPRAR
Suporte # 1,10;Suporte;1,1;BZ;0,1;43.332,00;38052;30934;0;0;68986;-25654;-2565,4;OK
Eixo (BF 0,9);Rodas;0,9;BF;0,15;85.050,00;14046;44666;45000;0;103712;-18662;-2799,3;OK
Mancal # 1,50;Rodas;1,5;BZ;0,15;81.092,40;36592;168282;0;0;204874;-123781,6;-18567,24;OK
Rodas c/camara;Rodas;0;—;0,604;110.000,00;0;0;0;0;0;110000;66440;COMPRAR
Rodas macicas;Rodas;0;—;0;14.000,00;0;0;0;0;0;14000;0;VERIFICAR
AROS;Rodas;0;—;0;124.000,00;0;0;0;0;0;0;0;VERIFICAR
Travessão do Pé # 0,90;Pé;0,9;BZ;0,16;59.426,40;38353;30763;0;0;69116;-9689,6;-1550,34;OK
Pé # 1,10;Pé;1,1;BZ;0,65;59.426,40;18758;12154;1600;0;32512;26914,4;17494,36;COMPRAR
Travessão do Pé # 1,10;Pé;1,1;BZ;0,25;21.666,00;13482;60016;0;0;73498;-51832;-12958;OK
Pé # 1,50;Pé;1,5;BZ;0,86;21.666,00;4705;5540;750;0;10995;10671;9177,06;COMPRAR
Caç. Metalf. M20 0,75;Metalforte;0,75;BF;5,68;10.000,00;70;7934;0;0;8004;1996;11337,28;COMPRAR
Caç. Metalf. M18 1,10;Metalforte;1,1;BF;8,33;2.000,00;5;1700;0;0;1705;295;2457,35;COMPRAR
Caç. Metalf. M16 1,40;Metalforte;1,4;BF;10,603;3.000,00;31;1712;0;0;1743;1257;13327,97;COMPRAR
Caçamba POP 0,40 BF (Cinza);Caçamba;0,4;BF;2,384;3.960,00;41;7364;0;0;7405;-3445;-8212,88;OK
Caçamba POP 0,40 BF (Vermelho);Caçamba;0,4;BF;2,384;270,60;1;0;0;0;1;269,6;642,73;COMPRAR
Caçamba Construtor 0,40 BF (Vermelho);Caçamba;0,4;BF;2,364;2.904,00;0;0;0;0;0;2904;6865,06;COMPRAR
Caçamba Construtor 0,40 BF (Cinza);Caçamba;0,4;BF;2,364;4.422,00;3912;9980;200;600;14692;-10270;-24278,28;OK
Caçamba POP (GALV.);Caçamba;0,4;BZ;2,384;14.586,00;20750;5993;505;0;27248;-12662;-30186,21;OK
Caçamba Constr. Galv. 0,40;Caçamba;0,4;BZ;2,364;28.644,00;2716;1600;2083;0;6399;22245;52587,18;COMPRAR
Caçamba POP 5.0;Caçamba;0,5;BF;3,204;2.310,00;955;800;701;6180;8636;-6326;-20268,5;OK
Reforço # 0,50 BZ;Caçamba;0,5;BZ;0,05;81.092,40;30879;142740;0;0;173619;-92526,6;-4626,33;OK
Caçamba Super 0,60 BF;Caçamba;0,6;BF;4,076;2.970,00;1;2454;0;823;3278;-308;-1255,41;OK
Caçamba Plus 0,75;Caçamba;0,75;BF;5,056;3.168,00;357;1177;0;365;1899;1269;6416,06;COMPRAR
Caçamba Master 0,75;Caçamba;0,75;BF;5,848;528,00;7;600;19;0;626;-98;-573,1;OK
